feature,importance,cohort,model,combined_importance,combined_importance_norm
txbili_t_r_high,0.0036573431833065,Combined,XGBoost,0.0036573431833065,0.04762862468357191
lsmilrin,0.0036459038962648,Combined,XGBoost,0.0036459038962648,0.04747965383729103
hemdilut,0.0036432207160448,Combined,XGBoost,0.0036432207160448,0.047444711482348766
lsbram,0.0036361470889595,Combined,XGBoost,0.0036361470889595,0.04735259348501806
ttndr,0.0036358071614377,Combined,XGBoost,0.0036358071614377,0.04734816669771811
don_nsyn,0.0036240214725354,Combined,XGBoost,0.0036240214725354,0.0471946847505147
txbram,0.0036103390340864,Combined,XGBoost,0.0036103390340864,0.047016501929548385
txcrp_r,0.0036005095281406,Combined,XGBoost,0.0036005095281406,0.04688849484187492
hxfail,0.0035943653989847,Combined,XGBoost,0.0035943653989847,0.046808481453219065
txsvcsat,0.0035524523806829,Combined,XGBoost,0.0035524523806829,0.046262659166931085
txicu,0.0035379800036803,Combined,XGBoost,0.0035379800036803,0.04607418918257681
lsrhfcl,0.0035329743431538,Combined,XGBoost,0.0035329743431538,0.046009001773421924
txldl_r,0.003528468878122,Combined,XGBoost,0.003528468878122,0.045950328279503155
lsbili_d_r,0.003516995270669,Combined,XGBoost,0.003516995270669,0.04580091048747317
txinhosp,0.0035154963771899,Combined,XGBoost,0.0035154963771899,0.04578139078932656
txbrp,0.003490884432789,Combined,XGBoost,0.003490884432789,0.04546087586801595
cmv,0.0034659327954414,Combined,XGBoost,0.0034659327954414,0.04513593721421561
donor_age,0.0034627209458797,Combined,XGBoost,0.0034627209458797,0.0450941101365674
dptxangi,0.0034563779973694,Combined,XGBoost,0.0034563779973694,0.045011507575406826
lssvcsat,0.0034165895630905,Combined,XGBoost,0.0034165895630905,0.0444933531917366
dhxnone,0.0034033503045191,Combined,XGBoost,0.0034033503045191,0.04432094178652198
hxaicd,0.0032691951542068,Combined,XGBoost,0.0032691951542068,0.042573874316136
spschool,0.0032691161994241,Combined,XGBoost,0.0032691161994241,0.04257284610863024
txhdl_r,0.0032437141245868,Combined,XGBoost,0.0032437141245868,0.0422420415250921
chd_patr,0.0031984863829391,Combined,XGBoost,0.0031984863829391,0.0416530524627432
txidtsys,0.0031750179761681,Combined,XGBoost,0.0031750179761681,0.041347429533202626
dcircod,0.0031316256365419,Combined,XGBoost,0.0031316256365419,0.040782342431824874
weight_donor,0.0031151026739464,Combined,XGBoost,0.0031151026739464,0.04056716820707239
statlist,0.0030588555647303,Combined,XGBoost,0.0030588555647303,0.0398346768000266
chd_hlh,0.003042983006085,Combined,XGBoost,0.003042983006085,0.03962797261597967
txcstat,0.0030415475067015,Combined,XGBoost,0.0030415475067015,0.039609278482576414
