Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits,feature,importance,Rank,Base_Feature,Category,Potential_Intervention,Modifiability,Best_Model
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,weight_txpl,5.28350296973384,11,weight,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txast,5.263293191660479,12,txast,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,height_txpl,5.170538837949464,13,height,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,age_listing,5.098282980835147,14,age,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txtp_r,4.997612060918971,15,txtp,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxdysdia,4.729338080748957,16,hxdysdia,Kidney Function,Dialysis management,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,lsfprat,3.647674353846982,17,lsfprat,Immunology,Flow PRA T-cell (desensitization possible),Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,slvent,3.076219761373439,18,slvent,Respiratory,Ventilation support,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxcpr,2.4429483101116167,19,hxcpr,Cardiac,CPR risk mitigation,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,slnomcsd,2.012393925500975,20,slnomcsd,Cardiac,Consider MCSD,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txvent,1.587023739544812,21,txvent,Respiratory,Ventilation weaning plan,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,donspac,1.4741688031612326,22,donspac,Immunology,Crossmatch-based donor selection,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,slvad,1.122236605128499,23,slvad,Cardiac,VAD support,Partially Modifiable,CatBoost
