feature,importance,Model,Cohort
lsprocm,64.65117,DeepSurv (pycox),Full Dataset
txbrp,64.58665,DeepSurv (pycox),Full Dataset
ltg_r,64.505104,DeepSurv (pycox),Full Dataset
debv,64.4746,DeepSurv (pycox),Full Dataset
chd_patr,64.46546,DeepSurv (pycox),Full Dataset
hxneuro,64.4271,DeepSurv (pycox),Full Dataset
hbsag,64.39226,DeepSurv (pycox),Full Dataset
don_mil,64.23788,DeepSurv (pycox),Full Dataset
chd_ctga,64.234985,DeepSurv (pycox),Full Dataset
atrial,64.23441,DeepSurv (pycox),Full Dataset
chd_tapvr,64.22093,DeepSurv (pycox),Full Dataset
ter_dx,64.12715,DeepSurv (pycox),Full Dataset
lbnp,64.127106,DeepSurv (pycox),Full Dataset
chd_ahih,64.10771,DeepSurv (pycox),Full Dataset
hxotresp,64.08271,DeepSurv (pycox),Full Dataset
txast,63.952206,DeepSurv (pycox),Full Dataset
hxmed,63.748173,DeepSurv (pycox),Full Dataset
chd_ps,63.384434,DeepSurv (pycox),Full Dataset
lsmshemo,63.201122,DeepSurv (pycox),Full Dataset
sec_dx,63.17967,DeepSurv (pycox),Full Dataset
txbram,63.17231,DeepSurv (pycox),Full Dataset
chd_aspl,63.037193,DeepSurv (pycox),Full Dataset
ttmaxvo2,62.997055,DeepSurv (pycox),Full Dataset
chd_ebst,62.73342,DeepSurv (pycox),Full Dataset
tdsacl2,62.63388,DeepSurv (pycox),Full Dataset
lsdobut,62.608665,DeepSurv (pycox),Full Dataset
txmcsd,62.499718,DeepSurv (pycox),Full Dataset
hxdysdia,62.42964,DeepSurv (pycox),Full Dataset
lsbili_d_r,62.425266,DeepSurv (pycox),Full Dataset
chd_dex,62.39755,DeepSurv (pycox),Full Dataset
hxcva,62.196465,DeepSurv (pycox),Full Dataset
txnomcsd,62.140064,DeepSurv (pycox),Full Dataset
hxsyn,62.03166,DeepSurv (pycox),Full Dataset
txbpcw,62.01111,DeepSurv (pycox),Full Dataset
lsbrs,61.901165,DeepSurv (pycox),Full Dataset
txo2,61.824486,DeepSurv (pycox),Full Dataset
hxarryth,61.81433,DeepSurv (pycox),Full Dataset
neuroth,61.748203,DeepSurv (pycox),Full Dataset
hcab,61.589184,DeepSurv (pycox),Full Dataset
dptxecho,61.581757,DeepSurv (pycox),Full Dataset
lspcmt,61.561836,DeepSurv (pycox),Full Dataset
txnpruss,61.368225,DeepSurv (pycox),Full Dataset
chd_anom,61.109985,DeepSurv (pycox),Full Dataset
efind,60.998886,DeepSurv (pycox),Full Dataset
lsbrp,60.752815,DeepSurv (pycox),Full Dataset
hxgiot,60.74497,DeepSurv (pycox),Full Dataset
slnomcsd,60.625854,DeepSurv (pycox),Full Dataset
lcreat_r,60.551968,DeepSurv (pycox),Full Dataset
donspxm,60.47767,DeepSurv (pycox),Full Dataset
slicu,60.470776,DeepSurv (pycox),Full Dataset
slvad,60.453255,DeepSurv (pycox),Full Dataset
chd_ma,60.437927,DeepSurv (pycox),Full Dataset
txtp_r,60.372444,DeepSurv (pycox),Full Dataset
dcmv,60.36625,DeepSurv (pycox),Full Dataset
pacemake,60.27776,DeepSurv (pycox),Full Dataset
txhdl_r,60.247063,DeepSurv (pycox),Full Dataset
chd_hlh,60.217007,DeepSurv (pycox),Full Dataset
techunk,60.114357,DeepSurv (pycox),Full Dataset
chd_bivc,60.09118,DeepSurv (pycox),Full Dataset
atrskhst,60.08607,DeepSurv (pycox),Full Dataset
slhosp,59.817566,DeepSurv (pycox),Full Dataset
txidtsys,59.686016,DeepSurv (pycox),Full Dataset
chd_shone,59.613354,DeepSurv (pycox),Full Dataset
lshemagt,59.216457,DeepSurv (pycox),Full Dataset
txtdsxm,59.116795,DeepSurv (pycox),Full Dataset
hlatxpre,58.784985,DeepSurv (pycox),Full Dataset
txhemo,58.74503,DeepSurv (pycox),Full Dataset
anxinj,58.725906,DeepSurv (pycox),Full Dataset
txbaosat,58.400158,DeepSurv (pycox),Full Dataset
chd_tr,58.000366,DeepSurv (pycox),Full Dataset
hxmet,57.727283,DeepSurv (pycox),Full Dataset
lspge,57.676346,DeepSurv (pycox),Full Dataset
slddpsc,57.41279,DeepSurv (pycox),Full Dataset
lssild,57.089127,DeepSurv (pycox),Full Dataset
txno2,57.05549,DeepSurv (pycox),Full Dataset
dhxnone,56.658234,DeepSurv (pycox),Full Dataset
txsilden,56.588573,DeepSurv (pycox),Full Dataset
riskothr,56.38291,DeepSurv (pycox),Full Dataset
txcstat,56.247375,DeepSurv (pycox),Full Dataset
