iter	Passed	Remaining
843	29119	39883
844	29157	39854
845	29194	39822
846	29226	39785
847	29264	39756
848	29298	39720
849	29336	39690
850	29367	39651
851	29403	39619
852	29439	39586
853	29475	39554
854	29518	39531
855	29557	39501
856	29605	39485
857	29639	39450
858	29670	39411
859	29708	39381
860	29739	39341
861	29777	39312
862	29810	39275
863	29850	39247
864	29883	39211
865	29919	39178
866	29957	39148
867	29993	39115
868	30036	39092
869	30073	39060
870	30104	39021
871	30140	38988
872	30173	38951
873	30210	38921
874	30243	38884
875	30276	38847
876	30311	38814
877	30342	38775
878	30384	38750
879	30417	38712
880	30452	38679
881	30489	38647
882	30525	38614
883	30559	38579
884	30595	38547
885	30627	38509
886	30666	38479
887	30702	38447
888	30739	38415
889	30775	38383
890	30809	38347
891	30851	38322
892	30892	38295
893	30931	38266
894	30969	38236
895	31006	38204
896	31042	38171
897	31076	38136
898	31113	38104
899	31149	38072
900	31187	38041
901	31220	38005
902	31258	37973
903	31293	37939
904	31326	37903
905	31360	37868
906	31393	37831
907	31426	37795
908	31459	37758
909	31496	37726
910	31534	37695
911	31569	37662
912	31610	37635
913	31646	37601
914	31680	37566
915	31715	37532
916	31749	37496
917	31791	37471
918	31824	37435
919	31858	37399
920	31891	37362
921	31930	37332
922	31968	37301
923	32005	37270
924	32044	37240
925	32081	37208
926	32115	37173
927	32149	37138
928	32184	37104
929	32217	37067
930	32251	37032
931	32284	36995
932	32321	36963
933	32357	36930
934	32393	36897
935	32428	36862
936	32464	36829
937	32498	36794
938	32535	36763
939	32571	36730
940	32606	36695
941	32642	36661
942	32677	36627
943	32712	36593
944	32747	36559
945	32781	36523
946	32816	36490
947	32850	36454
948	32883	36418
949	32918	36383
950	32954	36350
951	32990	36317
952	33025	36282
953	33064	36252
954	33100	36219
955	33140	36191
956	33174	36155
957	33214	36126
958	33252	36095
959	33288	36062
960	33325	36029
961	33363	35999
962	33399	35966
963	33441	35939
964	33476	35905
965	33512	35871
966	33549	35839
967	33589	35809
968	33635	35787
969	33674	35757
970	33708	35722
971	33746	35690
972	33779	35654
973	33815	35621
974	33850	35586
975	33888	35555
976	33922	35520
977	33957	35485
978	33992	35450
979	34029	35418
980	34064	35383
981	34100	35351
982	34135	35316
983	34176	35288
984	34214	35256
985	34248	35221
986	34284	35187
987	34322	35156
988	34357	35122
989	34393	35088
990	34427	35053
991	34464	35020
992	34501	34987
993	34536	34953
994	34574	34921
995	34612	34890
996	34648	34857
997	34687	34826
998	34723	34792
999	34758	34758
1000	34796	34727
1001	34836	34697
1002	34880	34672
1003	34915	34637
1004	34951	34604
1005	34987	34570
1006	35024	34537
1007	35057	34501
1008	35097	34471
1009	35129	34434
1010	35166	34401
1011	35198	34364
1012	35232	34328
1013	35265	34291
1014	35299	34256
1015	35333	34220
1016	35371	34188
1017	35403	34151
1018	35437	34115
1019	35471	34080
1020	35506	34045
1021	35539	34009
1022	35573	33973
1023	35615	33946
1024	35648	33909
1025	35684	33876
1026	35717	33839
1027	35753	33806
1028	35791	33774
1029	35826	33739
1030	35866	33709
1031	35900	33673
1032	35932	33637
1033	35966	33601
1034	35998	33564
1035	36033	33529
1036	36068	33494
1037	36101	33457
1038	36135	33422
1039	36168	33386
1040	36202	33351
1041	36236	33315
1042	36302	33309
1043	36337	33274
1044	36373	33240
1045	36405	33203
1046	36440	33169
1047	36478	33137
1048	36510	33100
1049	36546	33065
1050	36580	33030
1051	36614	32994
1052	36650	32961
1053	36683	32924
1054	36718	32889
1055	36757	32859
1056	36791	32823
1057	36824	32787
1058	36860	32753
1059	36898	32721
1060	36931	32684
1061	36964	32648
1062	37000	32614
1063	37037	32582
1064	37075	32550
1065	37109	32514
1066	37143	32478
1067	37180	32445
1068	37215	32411
1069	37257	32382
1070	37297	32352
1071	37333	32318
1072	37367	32283
1073	37410	32255
1074	37450	32224
1075	37490	32194
1076	37533	32166
1077	37574	32137
1078	37631	32121
1079	37670	32089
1080	37711	32059
1081	37757	32034
1082	37794	32001
1083	37833	31970
1084	37869	31936
1085	37907	31903
1086	37946	31872
1087	37983	31839
1088	38024	31809
1089	38062	31777
1090	38103	31747
1091	38144	31717
1092	38185	31687
1093	38222	31653
1094	38261	31622
1095	38302	31592
1096	38342	31561
1097	38384	31532
1098	38420	31498
1099	38462	31469
1100	38503	31439
1101	38539	31405
1102	38582	31376
1103	38632	31354
1104	38671	31321
1105	38706	31287
1106	38749	31258
1107	38792	31229
1108	38829	31196
1109	38865	31162
1110	38908	31133
1111	38947	31101
1112	38984	31068
1113	39022	31035
1114	39063	31005
1115	39107	30977
1116	39142	30942
1117	39186	30914
1118	39223	30880
1119	39263	30849
1120	39315	30827
1121	39355	30796
1122	39390	30761
1123	39432	30732
1124	39470	30699
1125	39507	30665
1126	39543	30631
1127	39583	30599
1128	39618	30564
1129	39653	30529
1130	39686	30493
1131	39724	30459
1132	39758	30423
1133	39794	30389
1134	39829	30354
1135	39865	30319
1136	39899	30283
1137	39935	30250
1138	39969	30213
1139	40003	30178
1140	40037	30142
1141	40070	30105
1142	40103	30069
1143	40136	30031
1144	40170	29996
1145	40204	29960
1146	40238	29924
1147	40270	29887
1148	40303	29850
1149	40340	29817
1150	40377	29783
1151	40410	29746
1152	40444	29710
1153	40476	29673
1154	40508	29636
1155	40544	29601
1156	40576	29564
1157	40611	29529
1158	40643	29491
1159	40676	29455
1160	40709	29418
1161	40744	29383
1162	40777	29347
1163	40810	29310
1164	40844	29274
1165	40875	29236
1166	40910	29201
1167	40942	29164
1168	40974	29127
1169	41006	29090
1170	41039	29053
1171	41071	29016
1172	41102	28978
1173	41135	28942
1174	41172	28908
1175	41207	28872
1176	41238	28835
1177	41270	28798
1178	41305	28762
1179	41336	28725
1180	41370	28689
1181	41408	28656
1182	41445	28622
1183	41477	28585
1184	41514	28552
1185	41546	28515
1186	41582	28480
1187	41613	28443
1188	41650	28409
1189	41681	28371
1190	41714	28334
1191	41749	28300
1192	41781	28262
1193	41815	28227
1194	41846	28189
1195	41881	28154
1196	41913	28117
1197	41951	28084
1198	41984	28047
1199	42020	28013
1200	42065	27985
1201	42098	27948
1202	42130	27911
1203	42161	27874
1204	42195	27838
1205	42228	27801
1206	42262	27766
1207	42293	27728
1208	42333	27696
1209	42364	27659
1210	42398	27623
1211	42430	27586
1212	42463	27550
1213	42499	27516
1214	42532	27479
1215	42568	27445
1216	42621	27422
1217	42653	27385
1218	42686	27348
1219	42718	27311
1220	42768	27286
1221	42805	27252
