Timestamp,Cohort,Model,N,Events,C_Index
2026-01-12 12:01:17,Combined,XGBoost,1168,188,0.399699
2026-01-12 12:01:22,Combined,AORSF,1168,188,0.314532
2026-01-12 12:03:14,Combined,CatBoost,1168,188,0.445224
2026-01-12 12:03:14,Combined,CatBoost,1168,188,0.528484
2026-01-12 12:03:17,Combined,XGBoost,1168,188,0.415064
2026-01-12 12:03:17,Combined,XGBoost,1168,188,0.462784
2026-01-12 12:03:25,Combined,AORSF,1168,188,0.37413
2026-01-12 12:03:25,Combined,AORSF,1168,188,0.323219
2026-01-12 12:03:27,Combined,RSF,1168,188,0.355122
2026-01-12 12:04:16,Combined,CatBoost,1168,188,0.624994
2026-01-12 12:04:18,Combined,XGBoost,1168,188,0.440381
2026-01-12 12:04:18,Combined,CatBoost,1168,188,0.408604
2026-01-12 12:04:19,Combined,CatBoost,1168,188,0.522237
2026-01-12 12:04:21,Combined,AORSF,1168,188,0.347855
2026-01-12 12:04:23,Combined,XGBoost,1168,188,0.406475
2026-01-12 12:04:25,Combined,XGBoost,1168,188,0.438395
2026-01-12 12:04:30,Combined,AORSF,1168,188,0.336553
2026-01-12 12:04:33,Combined,AORSF,1168,188,0.322137
2026-01-12 12:04:58,Combined,CatBoost,1168,188,0.615883
2026-01-12 12:05:02,Combined,XGBoost,1168,188,0.411666
2026-01-12 12:05:04,Combined,AORSF,1168,188,0.32516
2026-01-12 12:06:22,Combined,XGBoost,1168,188,0.410653
2026-01-12 12:06:24,Combined,AORSF,1168,188,0.330676
2026-01-12 12:14:34,Combined,RSF,1168,188,0.388848
2026-01-12 12:15:01,Combined,RSF,1168,188,0.316689
2026-01-12 12:15:17,Combined,RSF,1168,188,0.360341
2026-01-12 12:15:25,Combined,RSF,1168,188,0.370095
2026-01-12 12:15:35,Combined,RSF,1168,188,0.371168
2026-01-12 12:16:02,Combined,RSF,1168,188,0.331673
2026-01-12 12:16:02,Combined,RSF,1168,188,0.3747
2026-01-12 12:16:17,Combined,RSF,1168,188,0.390151
2026-01-12 12:16:20,Combined,CatBoost,1168,188,0.602072
2026-01-12 12:16:20,Combined,XGBoost,1168,188,0.444648
2026-01-12 12:16:21,Combined,AORSF,1168,188,0.371188
2026-01-12 12:16:48,Combined,CatBoost,1168,188,0.594325
2026-01-12 12:16:49,Combined,XGBoost,1168,188,0.469295
2026-01-12 12:16:50,Combined,AORSF,1168,188,0.342834
2026-01-12 12:17:05,Combined,CatBoost,1168,188,0.646197
2026-01-12 12:17:05,Combined,XGBoost,1168,188,0.439406
2026-01-12 12:17:07,Combined,AORSF,1168,188,0.350558
2026-01-12 12:17:17,Combined,CatBoost,1168,188,0.54443
2026-01-12 12:17:17,Combined,XGBoost,1168,188,0.456711
2026-01-12 12:17:19,Combined,AORSF,1168,188,0.35783
2026-01-12 12:17:35,Combined,CatBoost,1168,188,0.532767
2026-01-12 12:17:35,Combined,XGBoost,1168,188,0.43288
2026-01-12 12:17:37,Combined,AORSF,1168,188,0.335713
2026-01-12 12:18:10,Combined,CatBoost,1168,188,0.579549
2026-01-12 12:18:10,Combined,CatBoost,1168,188,0.621913
2026-01-12 12:18:10,Combined,XGBoost,1168,188,0.458007
2026-01-12 12:18:11,Combined,XGBoost,1168,188,0.422186
2026-01-12 12:18:12,Combined,AORSF,1168,188,0.379318
2026-01-12 12:18:14,Combined,AORSF,1168,188,0.361243
2026-01-12 12:18:44,Combined,CatBoost,1168,188,0.595874
2026-01-12 12:18:44,Combined,XGBoost,1168,188,0.439253
2026-01-12 12:18:46,Combined,AORSF,1168,188,0.355521
2026-01-12 12:27:14,Combined,RSF,1168,188,0.367408
2026-01-12 12:27:17,Combined,RSF,1168,188,0.384704
2026-01-12 12:27:30,Combined,RSF,1168,188,0.368407
2026-01-12 12:28:06,Combined,RSF,1168,188,0.369736
2026-01-12 12:28:32,Combined,RSF,1168,188,0.380189
2026-01-12 12:28:33,Combined,RSF,1168,188,0.381033
2026-01-12 12:29:03,Combined,RSF,1168,188,0.393739
2026-01-12 12:29:10,Combined,RSF,1168,188,0.391241
2026-01-12 12:30:18,Combined,CatBoost,1168,188,0.530582
2026-01-12 12:30:19,Combined,XGBoost,1168,188,0.416408
2026-01-12 12:30:20,Combined,AORSF,1168,188,0.338862
2026-01-12 12:35:12,Combined,RSF,1168,188,0.358931
2026-01-12 12:36:23,Myocardio,CatBoost,583,70,0.582499
2026-01-12 12:36:23,Myocardio,XGBoost,583,70,0.538119
2026-01-12 12:36:24,Myocardio,AORSF,583,70,0.417776
2026-01-12 12:36:34,Myocardio,CatBoost,583,70,0.576467
2026-01-12 12:36:34,Myocardio,XGBoost,583,70,0.471096
2026-01-12 12:36:35,Myocardio,AORSF,583,70,0.386923
2026-01-12 12:36:45,Myocardio,CatBoost,583,70,0.619215
2026-01-12 12:36:45,Myocardio,XGBoost,583,70,0.465752
2026-01-12 12:36:46,Myocardio,AORSF,583,70,0.440515
2026-01-12 12:36:55,Myocardio,CatBoost,583,70,0.566318
2026-01-12 12:36:55,Myocardio,XGBoost,583,70,0.495711
2026-01-12 12:36:56,Myocardio,AORSF,583,70,0.424519
2026-01-12 12:37:05,Myocardio,CatBoost,583,70,0.566708
2026-01-12 12:37:05,Myocardio,XGBoost,583,70,0.496214
2026-01-12 12:37:06,Myocardio,AORSF,583,70,0.45728799999999997
2026-01-12 12:37:21,Myocardio,CatBoost,583,70,0.582522
2026-01-12 12:37:22,Myocardio,XGBoost,583,70,0.464974
2026-01-12 12:37:23,Myocardio,AORSF,583,70,0.433255
2026-01-12 12:37:37,Myocardio,CatBoost,583,70,0.654925
2026-01-12 12:37:37,Myocardio,XGBoost,583,70,0.512769
2026-01-12 12:37:38,Myocardio,AORSF,583,70,0.368651
2026-01-12 12:37:55,Myocardio,CatBoost,583,70,0.561534
2026-01-12 12:37:56,Myocardio,XGBoost,583,70,0.506859
2026-01-12 12:37:56,Myocardio,AORSF,583,70,0.400087
2026-01-12 12:40:08,Myocardio,RSF,583,70,0.31835
2026-01-12 12:42:33,Myocardio,RSF,583,70,0.443999
2026-01-12 12:42:44,Myocardio,RSF,583,70,0.341592
2026-01-12 12:42:55,Myocardio,CatBoost,583,70,0.559923
2026-01-12 12:42:56,Myocardio,RSF,583,70,0.354199
2026-01-12 12:42:58,Myocardio,XGBoost,583,70,0.509148
2026-01-12 12:43:00,Myocardio,AORSF,583,70,0.402582
2026-01-12 12:43:19,Myocardio,RSF,583,70,0.380124
2026-01-12 12:43:35,Myocardio,RSF,583,70,0.463113
2026-01-12 12:43:47,Myocardio,RSF,583,70,0.403305
