feature,causal_responsibility,shap_importance,rule_frequency,total_rules
esteject,0.0003301745085957834,0.05294584084268098,14,2245
height_txpl,0.0003289281823590531,0.04922958462640494,15,2245
bmi_txpl,0.0003194790240169235,0.04482690055737458,16,2245
dcircod,0.00029774488041535527,0.05141825050249789,13,2245
lsfprab,0.00025807987288323193,0.03218829525682532,18,2245
age_listing,0.00024435755935900487,0.036572181384064394,15,2245
dtime,0.0002288476690640777,0.0642203771311068,8,2245
txhdl_r,0.00020465594654330154,0.030630173332647465,15,2245
height_donor,0.00019724351788631296,0.0402556088777066,11,2245
cprmin,0.00019444728146531803,0.019842461222256316,22,2245
txbili_d_r,0.000192773683676122,0.03329053229637645,13,2245
txbrs,0.00017959951218963582,0.02016004524328662,20,2245
txldl_r,0.0001731252909121635,0.06477771301630117,6,2245
txaboinc,0.00017171356224839646,0.032124745603970835,12,2245
cpr,0.00017063550375070934,0.0766153411840685,5,2245
don_t4,0.00016854422495366154,0.03783817850209702,10,2245
ecmo_combined,0.0001639377618174059,0.024536018352005085,15,2245
txsa_r,0.00015647090769438038,0.029273098981156997,12,2245
dabotype,0.00015592323794232362,0.05000680988293093,7,2245
lsrhfcl,0.00015491729479810793,0.043473665852719036,8,2245
txcrp_r,0.00015348754517374583,0.026506118378081492,13,2245
lsbaosat,0.00015122052772265437,0.02829084039477992,12,2245
txast,0.00014738452601176016,0.019463427111553033,17,2245
drpr,0.00012927919198751624,0.02073084185799814,14,2245
txsa_r_low,0.00012600086252580306,0.047145322728404646,6,2245
lssvcsat,0.00012521054500565904,0.028109767353770455,10,2245
don_dop,0.0001148055435135837,0.017182563012533028,15,2245
hxarryth,0.00011316700251002998,0.04234332010583622,6,2245
lsast,0.00010567678823930543,0.013955552329249452,17,2245
egfr_listing,9.860573829780864e-05,0.017028452498352338,13,2245
weight_donor,9.728744328616574e-05,0.02426781224193801,9,2245
txchol_r,9.638860361724194e-05,0.01442616100804721,15,2245
fracshor,8.772219663786522e-05,0.019693633145200742,10,2245
lhdl_r,6.758801290640795e-05,0.025289181495814307,6,2245
hxchb,6.719961293844846e-05,0.018857891380852098,8,2245
slinods,6.464809177381135e-05,0.016126107336911832,9,2245
lspbnp_r,6.381159084695772e-05,0.014325702145142009,10,2245
ter_dx,6.123715911117116e-05,0.017184677775572407,8,2245
statlist,6.121301802880501e-05,0.01145193545622227,12,2245
slvent,5.890257172314412e-05,0.033059068379614635,4,2245
donisch,4.755426222199329e-05,0.009705392608034085,11,2245
dhbsab,4.667561028321957e-05,0.026196686271456986,4,2245
lsbci,4.460989804910524e-05,0.016691536853373545,6,2245
txsvcsat,4.418533616686258e-05,0.024799019923651622,4,2245
lcrp_r,4.341158067634565e-05,0.012182374827299499,8,2245
lsnyha,3.769365388002207e-05,0.021155563240162385,4,2245
hxrenins,3.6741110615315165e-05,0.01649675866627651,5,2245
slivino,3.6686326624582335e-05,0.011765829038883905,7,2245
prim_dx,3.4811431252236e-05,0.007104696651024529,11,2245
hxtrans,2.3851541415287127e-05,0.00669333880966495,8,2245
txbaosat,2.277345397682079e-05,0.012781601044490668,4,2245
ebv,2.2235343597718636e-05,0.012479586594219584,4,2245
lspalb_r,1.9487573520619767e-05,0.0072916004256318966,6,2245
dmhhyten,1.9314646095974022e-05,0.007226896747576947,6,2245
hxcpr,1.6437145758880655e-05,0.018450696114343534,2,2245
txbco,1.626949317062211e-05,0.009131253042011659,4,2245
ttndr,1.4794393409119688e-05,0.005535568867245617,6,2245
dmechod,1.397757156858772e-05,0.007844912042869858,4,2245
rabotype,1.1381197038574059e-05,0.003650112478799823,7,2245
dcmv,1.0347889763309071e-05,0.011615506259314432,2,2245
txbpcw,8.026177900100815e-06,0.009009384692863165,2,2245
lsaboinc,6.6868724096943295e-06,0.007506014279881884,2,2245
lsbco,6.289849311660888e-06,0.0035301779261696733,4,2245
txpalb_r,6.211744822850085e-06,0.0069726835636492205,2,2245
txbpam,6.1097014747893544e-06,0.0045720932703007,3,2245
don_t3,5.583516957739178e-06,0.006267497785062227,2,2245
