feature,importance,cohort,model,combined_importance,importance_xgb,combined_importance_norm
toxo,1.9880349937848605,Myocardio,CatBoost,1.1946812719862152,0.0046506892882473,0.2367259725985037
lsalt,1.9315339436529448,Myocardio,CatBoost,1.1668681467673756,0.0198694514390221,0.23121480466373945
lsnyha,1.928732091973444,Myocardio,CatBoost,1.1580944860236828,0.0021380770990409,0.22947630467926497
lhdl_r,1.9243510434812985,Myocardio,CatBoost,1.1559695796449607,0.0033973838904544,0.22905525469632898
slivino,1.827724651944484,Myocardio,CatBoost,1.0988619211517625,0.0055678249626802,0.21773937797119225
lsbco,1.8252515047179376,Myocardio,CatBoost,1.0984573618148301,0.0082661474601694,0.21765921457970466
lsbrp,1.822038624032728,Myocardio,CatBoost,1.0943855012702117,0.0029058171264375,0.21685237582671432
egfr_listing,1.802050622563368,Myocardio,CatBoost,1.0842718463447543,0.0076036820168338,0.21484835613134057
lssvcsat,1.779426890798718,Myocardio,CatBoost,1.07136389289716,0.0092693960448233,0.21229064646786036
lsbci,1.7450224942220558,Myocardio,CatBoost,1.0508976506042218,0.0097103851774713,0.20823526263801465
durcarst,1.717446634823537,Myocardio,CatBoost,1.0425415368832898,0.0301838899729188,0.20657949955365437
txcreat_r,1.7291412609308952,Myocardio,CatBoost,1.0411148387358122,0.0090752054431879,0.206296799460763
height_listing,1.701564236255807,Myocardio,CatBoost,1.026142082486553,0.0130088518326719,0.20332994933203083
txbili_d_r,1.698312027080631,Myocardio,CatBoost,1.020848286233674,0.0046526749632394,0.20228098414266477
hemdilut,1.6382885494671977,Myocardio,CatBoost,0.9848163944328424,0.0046081618813097,0.1951412684451592
txldl_r,1.63772815880869,Myocardio,CatBoost,0.9846328282522476,0.0049898324175839,0.1951048948251348
lcmvpcr,1.6054232376768405,Myocardio,CatBoost,0.964126189460598,0.0021806171362347,0.1910415064331759
txtg_r,1.5665385753936456,Myocardio,CatBoost,0.9421576655258994,0.00558630072428,0.1866884456487301
slicu,1.535896660872642,Myocardio,CatBoost,0.9223058500120123,0.0019196337210674,0.18275481042269365
hxmet,1.504187281558793,Myocardio,CatBoost,0.9031670360212362,0.0016366677149006,0.17896245637598135
lsbrs,1.4949388958675007,Myocardio,CatBoost,0.9002456437468699,0.0082057655659236,0.17838358279379038
donisch,1.486593107530502,Myocardio,CatBoost,0.8967403287568299,0.0119611605963219,0.17768900498484747
txalt,1.4656304135792035,Myocardio,CatBoost,0.8879757217877791,0.0214936841006425,0.17595229900489792
txbili_t_r_high,1.4737987493429976,Myocardio,CatBoost,0.884282165739111,7.290333281327719e-06,0.17522042124932352
